cluster,gene,logfoldchanges,pvals_adj,scores
1,axo29.F4B,2.0889473,8.190152910235318e-28,11.076426
1,axo10.D1B,1.720491,9.202397132541296e-28,11.065613
1,axo15.E11B,1.670131,9.671069425184412e-28,11.060788
1,axo6.F4B,2.166696,1.0050850093782642e-27,11.056965
1,axo15.B7,1.6923121,2.296403770419064e-27,10.98185
1,axo12.D7,1.7423359,2.5053891803860994e-27,10.973613
1,axo15.D5,2.2032418,2.759466863446237e-27,10.964513
1,axo11.D5B,1.830858,3.2454130965742414e-27,10.949466
1,axo6.E10B,2.1147053,6.325268669305242e-27,10.8881235
1,axo29.F11A,1.8769637,6.4429874441623445e-27,10.886081
1,axo13.D4B,1.6685504,7.905015681832367e-27,10.867073
1,axo15.A4,1.6939777,1.0398010594908136e-26,10.841308
1,axo20.A3A,3.0209444,1.2718637976425067e-26,10.822148
1,axo12.F5,1.8588017,1.3402030910091187e-26,10.816996
1,axo6.D12B,2.233963,1.3527060329335732e-26,10.81579
1,axo13.F6B,1.7834918,1.6465445203324668e-26,10.797399
1,axo29.C4B,1.9630648,1.835745307745017e-26,10.787051
1,axo20.C2B,2.984812,2.0425407400568254e-26,10.776882
1,axo20.E12A,2.8002815,2.3013554803050227e-26,10.765549
1,axo15.C5B,2.1735005,2.3149178412526606e-26,10.764658
1,axo13.F9B,1.7053968,2.442828786673846e-26,10.759354
1,axo12.C3,1.6888713,3.9261250442602184e-26,10.714841
1,axo15.B6,1.7733955,5.133614220047406e-26,10.6896515
1,axo29.G8A,1.586401,5.792593037316469e-26,10.678099
1,axo15.F10,2.087104,9.088780002153365e-26,10.635847
1,axo13.C7B,1.668328,9.91621524255592e-26,10.6273775
1,axo29.D4B,2.176687,1.6819745171412123e-25,10.57763
1,axo6.A12B,1.7611809,2.169921454571517e-25,10.553043
1,axo20.F2A,3.0396092,2.506890171370487e-25,10.539133
1,axo6.G10B,1.7524419,3.064721764725848e-25,10.519878
1,axo11.D8B,1.4474205,3.742190320981184e-25,10.500362
1,axo20.F7B,2.6645224,3.948238374793176e-25,10.494964
1,axo15.C9B,1.876779,5.6841337471917865e-25,10.460154
1,axo15.A2B,2.0288048,6.984171860537496e-25,10.440282
1,axo6.F8B,1.8056306,7.842587843670793e-25,10.428934
1,axo13.H6B,1.673943,1.4034324300933782e-24,10.372813
1,axo16.B12B,1.7655928,2.403786752767092e-24,10.320941
1,axo12.D6,1.883141,2.6266777648025127e-24,10.312088
1,axo21.F2B,1.9387671,3.2456804463148302e-24,10.291065
1,axo12.H7,1.907954,5.7717196883061664e-24,10.234492
1,axo13.C8B,1.5922031,6.252844343984984e-24,10.226406
1,axo15.B5B,1.6230087,6.642755637608234e-24,10.219883
1,axo15.B12B,1.7217644,1.050213772860297e-23,10.175055
1,axo15.C10B,1.7613126,1.1285051163533616e-23,10.167723
1,axo29.A3B,1.7624719,1.1794596926339311e-23,10.163091
1,axo16.A7B,1.6866573,1.5680388988331005e-23,10.134969
1,axo20.G8A,2.8249702,2.6829327506932717e-23,10.082014
1,axo13.F4B,1.6179588,2.991195555819715e-23,10.070995
1,axo21.E8A,1.8522086,3.195428143415442e-23,10.06417
1,axo29.H2B,1.9672667,4.419338371536197e-23,10.031882
1,axo13.D10B,1.6052428,4.744884693244067e-23,10.024536
1,axo20.B11A,2.873898,5.21565765118425e-23,10.014861
1,axo10.F1B,1.6303762,5.390758327371818e-23,10.0112705
1,axo29.D12A,1.5832934,5.469268448807589e-23,10.009516
1,axo29.B6A,1.5679266,5.583281022807633e-23,10.00683
1,axo20.E9A,2.71621,6.77521483532892e-23,9.987342
1,axo20.B12B,2.4761233,8.67396433519648e-23,9.962495
1,axo20.D6B,3.0166233,2.122144632905178e-22,9.872853
1,axo7.G6B,1.7229679,2.163875439054653e-22,9.870578
1,axo15.C3B,1.5832292,2.687042546132067e-22,9.848514
1,axo13.C4B,1.6153954,3.378960706781029e-22,9.825133
1,axo12.C6,1.6727786,4.0256389780852115e-22,9.807153
1,axo13.B2B,1.5555323,5.022465318622915e-22,9.784156
1,axo20.B5B,3.044403,6.601972934371455e-22,9.755815
1,axo13.H3B,1.5186942,7.241487005674216e-22,9.746112
1,axo15.E10B,1.5416893,9.233028979216567e-22,9.720457
1,axo15.C4,1.722274,1.199824327774141e-21,9.693431
1,axo13.E4B,1.4158709,1.2717799469773203e-21,9.687168
1,axo11.D7B,1.4369649,1.4650129786707186e-21,9.672079
1,axo15.F3,1.566703,1.630435700971457e-21,9.660814
1,axo12.G1,1.4972986,1.6979271314984944e-21,9.656346
