cluster,gene,logfoldchanges,pvals_adj,scores
0,axo3.D1,-0.8912144,2.378304346633634e-34,-12.238834
0,axo29.G11B,-1.2816135,7.533525234016925e-35,-12.331884
0,axo9.H6A,-1.2735146,5.837570402615723e-35,-12.352498
0,axo9.G12A,-1.3792788,5.526138680690409e-35,-12.356989
0,axo9.C6A,-1.3312954,4.6648533146784843e-35,-12.3706875
0,axo3.C4,-1.1786853,4.5984848434117264e-35,-12.371921
0,axo6.B1B,-1.4504901,4.300680068856391e-35,-12.377379
0,axo10.E11,-1.3627042,3.862319813907875e-35,-12.386088
0,axo9.F5A,-1.2349507,3.2020114004007343e-35,-12.401202
0,axo29.D4B,-1.5156347,1.98329547555546e-35,-12.439607
0,axo14.A8A,-1.0660864,1.66879378811247e-35,-12.453473
0,axo15.C4,-1.0904104,1.5331348912060093e-35,-12.460319
0,axo13.H4B,-1.541485,1.0921318829524576e-35,-12.487421
0,axo9.E12A,-1.1565145,1.0877879813681107e-35,-12.48782
0,axo6.F11B,-1.4485879,9.790865014570158e-36,-12.496277
0,axo6.A7B,-1.2557598,5.8682226486271364e-36,-12.537001
0,axo6.D4B,-1.3891435,5.17010936131151e-36,-12.547118
0,axo29.C5B,-1.3789667,4.3789982560987804e-36,-12.560348
0,axo29.F6B,-1.4960562,4.038336039041504e-36,-12.566835
0,axo10.F9B,-1.4446776,3.934048725809281e-36,-12.568987
0,axo7.D6B,-1.5900488,3.8710170074029134e-36,-12.570346
0,axo15.F9B,-1.1895454,3.6877209959505256e-36,-12.574263
0,axo3.F6,-1.3145881,9.183767251373963e-37,-12.6837435
0,axo4.F12,-1.132676,8.796842690075378e-37,-12.687198
0,axo29.D5B,-1.2901351,6.6494148244484465e-37,-12.709186
0,axo20.A5B,-1.796497,5.187347198579774e-37,-12.728671
0,axo9.E8A,-1.3855175,5.171858787194905e-37,-12.728987
0,axo9.D4A,-1.0556384,4.250808952884337e-37,-12.744373
0,axo7.G4B,-1.3365185,2.680023193262085e-37,-12.780381
0,axo29.D2B,-1.3658031,2.661655280058302e-37,-12.780998
0,axo6.E10B,-1.5619662,1.977588551102292e-37,-12.804162
0,axo9.D2A,-1.1182946,1.3574305880631633e-37,-12.833423
0,axo9.E4A,-1.3318912,1.2829930096980884e-37,-12.837872
0,axo3.D6,-1.3073434,1.208560158821825e-37,-12.842581
0,axo16.C9,-1.4293662,1.1653307564614142e-37,-12.845481
0,axo3.H1,-0.8690141,4.062619177982689e-38,-12.926935
0,axo9.H3A,-1.3566104,3.970625463819762e-38,-12.928778
0,axo21.F7B,-1.6089684,2.288875103401996e-38,-12.971148
0,axo21.D9A,-1.474744,1.7903039325097582e-38,-12.990046
