Ortholog_Gene_Symbol,Axolotl_scRNA,Mouse_BulkRNA,Human_Proteomics,Conservation_Score
AXO15.B8,True,False,False,1
AXO15.B9,True,False,False,1
AXO15.B9B,True,False,False,1
AXO15.C1,True,False,False,1
AXO15.C10B,True,False,False,1
AXO15.C11B,True,False,False,1
AXO15.C12,True,False,False,1
AXO15.C12B,True,False,False,1
AXO15.C2,True,False,False,1
AXO15.C2B,True,False,False,1
AXO15.C3B,True,False,False,1
AXO15.C4,True,False,False,1
AXO15.C4B,True,False,False,1
AXO15.C5B,True,False,False,1
AXO15.C6,True,False,False,1
AXO15.C6B,True,False,False,1
AXO15.C7B,True,False,False,1
AXO15.C8B,True,False,False,1
AXO15.C9,True,False,False,1
AXO15.C9B,True,False,False,1
AXO15.D10B,True,False,False,1
AXO15.D11,True,False,False,1
AXO15.D11B,True,False,False,1
AXO15.D12,True,False,False,1
AXO15.D12B,True,False,False,1
AXO15.D1B,True,False,False,1
AXO15.D2,True,False,False,1
AXO15.D2B,True,False,False,1
AXO15.D4B,True,False,False,1
AXO15.D5,True,False,False,1
AXO15.D5B,True,False,False,1
AXO15.D6B,True,False,False,1
AXO15.D8,True,False,False,1
AXO15.D8B,True,False,False,1
AXO15.E10B,True,False,False,1
AXO15.E11B,True,False,False,1
AXO15.E12B,True,False,False,1
AXO15.E1B,True,False,False,1
AXO15.E2B,True,False,False,1
AXO15.E3B,True,False,False,1
AXO15.E4,True,False,False,1
AXO15.E5B,True,False,False,1
AXO15.E6,True,False,False,1
AXO15.E8B,True,False,False,1
AXO15.F10,True,False,False,1
AXO15.F10B,True,False,False,1
AXO15.F12,True,False,False,1
AXO15.F1B,True,False,False,1
AXO15.F2,True,False,False,1
AXO15.F3,True,False,False,1
AXO15.F3B,True,False,False,1
AXO15.F4,True,False,False,1
AXO15.F4B,True,False,False,1
AXO15.F5,True,False,False,1
AXO15.F6,True,False,False,1
AXO15.F7B,True,False,False,1
AXO15.F9B,True,False,False,1
AXO15.G10B,True,False,False,1
AXO15.G11B,True,False,False,1
AXO15.G12B,True,False,False,1
AXO15.G1B,True,False,False,1
AXO15.G3,True,False,False,1
AXO15.G3B,True,False,False,1
AXO15.G4B,True,False,False,1
AXO15.G5,True,False,False,1
AXO15.G6B,True,False,False,1
AXO15.G7B,True,False,False,1
AXO15.G8B,True,False,False,1
AXO15.H10B,True,False,False,1
AXO15.H12B,True,False,False,1
AXO15.H4B,True,False,False,1
AXO15.H5B,True,False,False,1
AXO15.H6B,True,False,False,1
AXO15.H8B,True,False,False,1
AXO15.H9B,True,False,False,1
AXO16.A1,True,False,False,1
AXO16.A10,True,False,False,1
AXO16.A11B,True,False,False,1
AXO16.A12B,True,False,False,1
AXO16.A1B,True,False,False,1
AXO16.A2,True,False,False,1
AXO16.A3,True,False,False,1
AXO16.A3B,True,False,False,1
AXO16.A4,True,False,False,1
AXO16.A4B,True,False,False,1
AXO16.A5,True,False,False,1
AXO16.A5B,True,False,False,1
AXO16.A6,True,False,False,1
AXO16.A6B,True,False,False,1
AXO16.A7,True,False,False,1
AXO16.A7B,True,False,False,1
AXO16.A8,True,False,False,1
AXO16.A8B,True,False,False,1
